mu,lambda
49999999.99999999,0.13
50069432.26597056,0.12997422786926677
50138960.94873228,0.12994846232416724
50208586.182173885,0.12992270336192274
50278308.10037002,0.12989695097975618
50348126.837581694,0.12987120517489215
50418042.52825583,0.12984546594455693
50488055.307026565,0.12981973328597834
50558165.30871485,0.12979400719638584
50628372.66832882,0.12976828767301057
50698677.5210641,0.12974257471308528
50769080.00230407,0.1297168683138443
50839580.24762009,0.12969116847252368
50910178.39277196,0.12966547518636098
50980874.573707476,0.12963978845259558
51051668.92656375,0.12961410826846836
51122561.58766676,0.12958843463122185
51193552.69353178,0.1295627675381002
51264642.38086369,0.12953710698634918
51335830.786557175,0.12951145297321628
51407118.047697015,0.12948580549595057
51478504.301558375,0.12946016455180268
51549989.68560721,0.12943453013802492
51621574.33749983,0.12940890225187135
51693258.39508424,0.1293832808905975
51765041.996399686,0.12935766605146062
51836925.279677115,0.12933205773171957
51908908.38333941,0.1293064559286348
51980991.446001686,0.12928086063946842
52053174.60647153,0.12925527186148422
52125458.00374931,0.12922968959194756
52197841.77702857,0.1292041138281254
52270326.06569561,0.1291785445672865
52342911.00933084,0.1291529818067011
52415596.74770831,0.1291274255436411
52488383.42079616,0.12910187577538
52561271.16875692,0.129076332499193
52634260.13194772,0.12905079571235695
52707350.45092063,0.12902526541215023
52780542.266423054,0.12899974159585287
52853835.719397314,0.12897422426074667
52927230.95098199,0.12894871340411493
53000728.102511466,0.1289232090232426
53074327.31551641,0.1288977111154163
53148028.731724,0.12887221967792423
53221832.49305825,0.12884673470805627
53295738.741640225,0.1288212562031039
53369747.61978837,0.12879578416036022
53443859.27001894,0.12877031857711996
53518073.83504553,0.12874485945067962
53592391.45778047,0.12871940677833715
53666812.28133438,0.1286939605573922
53741336.44901658,0.1286685207851461
53815964.10433541,0.1286430874589017
53890695.390998505,0.1286176605759636
53965530.45291303,0.12859224013363793
54040469.43418602,0.12856682612923254
54115512.479124784,0.12854141856005677
54190659.73223646,0.12851601742342184
54265911.33822944,0.1284906227166404
54341267.44201286,0.12846523443702682
54416728.18869709,0.128439852581897
54492293.723594,0.1284144771485686
54567964.19221725,0.1283891081343608
54643739.74028258,0.12836374553659452
54719620.51370824,0.12833838935259215
54795606.65861457,0.128313039579678
54871698.321325354,0.1282876962151777
54947895.64836741,0.12826235925641868
55024198.78647102,0.12823702870072998
55100607.88257021,0.12821170454544223
55177123.08380306,0.12818638678788774
55253744.53751196,0.1281610754254004
55330472.39124392,0.1281357704553158
55407306.79275104,0.12811047187497102
55484247.88998997,0.12808517968170502
55561295.831123464,0.1280598938728582
55638450.76451977,0.12803461444577263
55715712.83875322,0.12800934139779205
55793082.20260442,0.12798407472626175
55870559.0050606,0.12795881442852872
55948143.39531586,0.12793356050194157
56025835.52277172,0.12790831294385052
56103635.53703652,0.1278830717516075
56181543.58792699,0.127857836922566
56259559.82546767,0.12783260845408112
56337684.39989144,0.12780738634350966
56415917.46163982,0.12778217058821
56494259.161363214,0.12775696118554217
56572709.64992125,0.12773175813286783
56651269.07838303,0.1277065614275503
56729937.59802763,0.1276813710669544
56808715.36034363,0.12765618704844683
56887602.51703054,0.12763100936939573
56966599.219998345,0.12760583802717093
57045705.621367976,0.12758067301914386
57124921.8734716,0.1275555143426876
57204248.12885293,0.1275303619951769
57283684.540267505,0.1275052159739881
57363231.26068298,0.12748007627649915
57442888.44327964,0.12745494290008963
57522656.24144986,0.1274298158421409
57602534.80879966,0.12740469510003577
57682524.29914813,0.12737958067115876
57762624.86652797,0.12735447255289603
57842836.66518578,0.12732937074263528
57923159.84958236,0.127304275237766
58003594.574393,0.12727918603567917
58084140.99450796,0.12725410313376745
58164799.26503201,0.1272290265294252
58245569.541285895,0.1272039562200483
58326451.97880584,0.12717889220303435
58407446.73334408,0.12715383447578255
58488553.9608691,0.12712878303569367
58569773.817566,0.1271037378801702
58651106.45983674,0.12707869900661625
58732552.04430049,0.12705366641243754
58814110.72779409,0.12702864009504133
58895782.66737158,0.12700362005183677
58977568.020305686,0.12697860628023439
59059466.94408735,0.12695359877764645
59141479.59642618,0.12692859754148683
59223606.135250814,0.12690360256889985
59305846.718709186,0.12687861385315902
59388201.50516885,0.12685363139033576
59470670.653217465,0.12682865517792388
59553254.32166231,0.12680368521341856
59635952.66953179,0.1267787214943158
59718765.856074974,0.12675376401811286
59801694.04076203,0.1267288127823081
59884737.3832846,0.12670386778440096
59967896.04355607,0.12667892902189207
60051170.1817119,0.1266539964922831
60134559.9581099,0.12662907019307684
60218065.533330806,0.1266041501217772
60301687.06817766,0.12657923627588932
60385424.72367749,0.12655432865291932
60469278.66108069,0.1265294272503745
60553249.04186158,0.12650453206576318
60637336.02771871,0.12647964309659493
60721539.78057516,0.12645476034038033
60805860.46257891,0.12642988379463116
60890298.23610304,0.12640501345686025
60974853.26374638,0.1263801493245815
61059525.708332874,0.12635529139531015
61144315.732913226,0.1263304396665623
61229223.50076434,0.1263055941358553
61314249.17538986,0.12628075480070755
61399392.920520484,0.12625592165863864
61484654.90011426,0.12623109470716917
61570035.278356925,0.12620627394382097
61655534.21966242,0.12618145936611688
61741151.88867235,0.126156650971581
61826888.45025762,0.1261318487577384
61912744.069517836,0.12610705272211528
61998718.91178188,0.1260822628622391
62084813.14260822,0.12605747917563823
62171026.927785225,0.12603270165984232
62257360.43333149,0.12600793031238205
62343813.82549614,0.12598316513078922
62430387.27075938,0.12595840611259673
62517080.93583196,0.12593365325533876
62603894.98765676,0.12590890655655038
62690829.59340829,0.12588416601376787
62777884.92049318,0.12585943162452864
62865061.13655056,0.12583470338637123
62952358.40945234,0.1258099812968352
63039776.90730353,0.12578526535346138
63127316.79844281,0.12576055555379148
63214978.25144196,0.12573585189536865
63302761.435107514,0.1257111543757369
63390666.51848018,0.12568646299244143
63478693.67083543,0.12566177774302856
63566843.06168378,0.12563709862504574
63655114.86077114,0.12561242563604152
63743509.23807914,0.12558775877356554
63832026.36382545,0.1255630980351686
63920666.408464335,0.12553844341840253
64009429.542686105,0.1255137949208205
64098315.937418744,0.12548915253997653
64187325.76382738,0.1254645162734259
64276459.19331485,0.12543988611872492
64365716.39752198,0.12541526207343112
64455097.54832795,0.12539064413510306
64544602.817850634,0.12536603230130045
64634232.37844691,0.1253414265695841
64723986.4027132,0.12531682693751595
64813865.063484974,0.1252922334026591
64903868.53383834,0.12526764596257767
64993996.98708954,0.12524306461483697
65084250.59679549,0.12521848935700342
65174629.536754124,0.12519392018664446
65265133.9810047,0.1251693571013288
65355764.10382817,0.1251448000986261
65446520.07974774,0.12512024917610723
65537402.083528236,0.1250957043313443
65628410.2901779,0.12507116556191025
65719544.87494776,0.1250466328653794
